Sample ID,Gene Name,0894E,10763,24713,30862,36F37,668C5,74B28,94BFD,99EC2,A4A2E,117DD,1A5CC,1ED9C,24713-LV3,7EB7D,838CA,A3CD2,B2539,B367E,BDC56,E2C05,E5076,105A1,135D6,19A26,23EE4,24713-LV2,24BE8,39D8F,70146,7B6D3,98D38,BE497-LV1,C35CE,02B37,29B5D,5F02C,7CE52,978FA,B367E,B54F0-LV1,C472B,CEDF2,CF462,E4F33,14C39-LV,246D8-LV2,27D6D-LV2,31331-LV1,31331-LV3,32B32-LV2,59B77-LV2,6634F-LV2,78BBB-LV1,0A105-LV1,0A105-LV2,0A105-LV3,78BBB-LV2,78BBB-LV3,AF1FF-LV2,AFAA5-LV2,B23E3-LV2,B23E3-LV3,B25DF-LV2,B54F0,B8BE2-LV2,D6A67-LV2,DC737-LV2,EF5CB-LV2,43149-LV2,5F09B-LV2,1952B,80993-LV2,8E214-LV2,93EF1-LV2,98578-LV2,A7A62-LV2,C535E-LV2,D03B3-LV2,E1FF3-LV2,E344C-LV2,105A1-LV2,207EB-LV2,2E9CE-LV2,4E8C1-LV2,4EBAA-LV2,541DB-LV2,589A0-LV2,B1069-LV2,E9D4C-LV2,F2517-LV2,F3CE1-LV2,F8EE8-LV2
Endogenous,COL27A1,374.67,281.74,254.28,325.02,114.54,293.57,146.43,81.67,145.51,319.63,199.58,397.08,156.24,170.93,227.78,279.91,347.27,184.77,264.76,192.39,314.01,121.1,205.74,361.38,347.28,192.51,175.28,126.67,211.14,466.52,346.95,177.38,161.52,240.42,565.14,331.77,217.3,293.52,254.37,261.29,388.47,348.44,312.74,383.54,297.86,146.9,259.65,232.82,176.69,172.18,195.04,192.31,204.74,144.17,260.9,148.99,315.99,190.98,229.84,247.42,414.56,371.83,283.43,183.64,347.62,253.03,126.85,346.53,210.02,283.18,212.07,166.3,195.95,198.36,175.01,252.12,122.02,163.85,444.43,140.98,167.15,325.91,170.82,208.4,359.6,198.77,376.94,367.88,186.2,402.15,516.34,138.3,190.07
Endogenous,COL3A1,14764.59,3399.6,7068.29,8464.91,10606.17,8904.86,9823.96,7772.5,23135.94,8286.19,37732.58,12154.07,16034.56,8990.73,5569.97,17898.95,14339.65,6520.2,11296.26,3607.3,10478.56,5544.19,18194.37,16895.67,23665.61,13158.9,9724.3,10394.88,18187.05,21816.39,8930.62,8514.02,4549.58,18134.71,7384.53,14210.17,19084.78,18941.25,12752.05,9899.76,5787.12,13382.85,15443.51,15176.55,68073.84,18909.24,14160.08,9569.18,2854.55,7036.78,5936.01,28039.15,5127.48,21704.87,24716.66,12060.17,13911.91,25873.28,28450.63,7756.97,8026.42,4907.13,12748.86,5912.24,5805.23,25939.35,10573.2,44060.94,14994.04,16374.17,10181.3,16879.97,7511.27,16593.46,7338.79,16227.08,11516.31,8957.6,27212.86,5448.66,20694.4,12102.02,10660.67,17377.01,30981.8,8766.65,13292.75,13852.86,9050.71,26599.62,23649.89,13724.62,49223.02
Endogenous,COL4A5,222.26,300.52,81.08,167.29,251.98,126.64,103.16,285.85,316.32,130.76,220.43,180.12,135.86,93.81,184.81,195.55,182.1,164.24,103.64,160.32,94.63,107.94,187.04,168.31,223.91,192.51,52.58,153.06,116.94,121.58,184.74,241.88,139.09,105.06,452.11,222.03,124.95,103.47,171.62,118.14,91.41,258.11,194.6,139.27,148.93,156.53,131.11,99.41,164.91,123.52,151.44,129.7,98.99,104.12,69.16,124.83,102.48,116.18,103.8,160.56,182.95,103.68,99.93,137.73,149.27,183.62,141.61,217.69,131.53,148.89,140.3,136.18,96.05,128.11,170.03,194.34,117.58,111.32,235.07,190.62,172.99,159.27,102.94,216.41,136.81,129.39,226.89,188.63,121.71,94.85,172.88,126.1,146.57
Endogenous,COL6A1,4172.19,1258.42,4322.79,4177.49,4283.7,4553.16,2815.4,1742.35,3694.66,4140.67,6154.22,4204.19,3596.82,3456.21,3055.75,4490.08,4362.03,2570.31,3215.04,2501.06,4559.64,3014.29,3965.26,4257.33,5885.56,3445.14,3439.44,2704.94,3462.65,5516.3,4325.63,2144.63,3064.46,3897.27,2599.65,3149.31,4761.69,4225.35,5525.58,3324.47,4210.37,5062.12,4857.93,4287.49,6715.05,2747.76,4146.73,4075.67,2697.49,2747.34,2953.09,4154.78,3642.56,3686.89,4740.27,3205.31,4298.54,4696.56,4366.87,4303.58,2825.98,3103.38,3889.88,3223.93,4224.59,4668.81,2693.45,5091.39,4384.93,3755.08,2713.59,3314.19,5428.87,4099.46,3028.19,3672.22,2797.55,2294.59,4403.86,2718.37,2854.84,4634.58,2195.71,1338.54,3234.49,3319.14,4297.28,759.78,1888.7,4448.32,4300.72,2404.05,2061.36
Endogenous,CTNNA1,15901.31,19608.77,14475.62,14143.24,14935.69,15040.98,16639.49,14306.31,13962.54,13298.59,14054.02,13271.64,16628.94,17510.36,15648.34,16564.58,17033.1,17187.38,13547.71,18902.27,14457.49,15195.19,16113.54,14385.83,14832.71,15858.06,15779.35,13791.22,13116.5,11767.73,13981.69,14818.91,15456.89,13669.73,10285.59,14654.24,19424.31,15801.26,14667.47,11752.41,16127.39,15947.79,15705.62,16168.61,11426.17,14950.15,15154.99,14806.34,18650.8,19137.79,16302.8,18370.02,16568.14,14242.98,17810.58,16638.6,18452.42,13685.45,12133.82,14761.15,14509.45,16441.13,16115.5,15385.09,14998.72,15412.69,12918.54,14983.16,16031.4,17286.48,18497.29,15647.79,13712.4,16798.71,21207.31,17604.72,14993.84,20714.49,14258.38,16187.12,18416.9,18462.84,18126.75,15285.04,24755.06,14454.2,18591.13,10708.32,21038.97,19900.18,14659.9,16561.88,15871.81
Endogenous,CTNNB1,10154.23,8489.62,10211.8,12016.25,13240.54,11662.08,11674.27,12686.47,10350.12,11419.54,11408.84,10737.67,10967.08,9318.01,12622.68,13730.97,13996.62,10782.15,13086.95,12168.64,11962.59,9785.26,13340.67,12707.65,12031.58,14771.17,9998.91,10270.84,13369.87,8615.16,9155.91,10755.4,7847.35,10952.35,7535.23,9320.32,12378.21,10556,11520.06,10666.95,10757.3,13692.58,12582.17,10927.63,9140.94,12317.98,13843.87,12195.61,11398.58,10083.56,13459.85,14615.51,16329.65,10518.72,10473.85,12716.53,9681.68,9163.95,9315,11044.54,8845.8,10073.48,10083.54,12194.32,11035.87,11883.65,10068.73,12153.13,11705.87,13914.58,16223.36,11822.92,14284.87,14910.15,12117.75,13774.18,14909.53,15685.03,10152.02,13315.86,14742.22,13708.57,13342.8,10572.08,14862.7,10737.51,17055.81,6835.63,18422.92,12889.54,9140.32,12195.14,13438.33
Endogenous,CTNNBIP1,1314.53,807.64,866.03,2040.95,1275.18,1421.78,1184.73,884.79,1094.48,1772.5,1009.82,1138.04,1178.56,1513.4,1568.7,1671.8,2240.31,1453.5,1533.12,1042.11,1987.31,1287.33,1332.66,1371.26,1722.71,1135.01,956.27,1419.76,1403.25,1473.09,1311.21,1112.63,2638.22,1450.62,1657.75,885.58,1181.59,1228.96,1437.33,1300.88,1719.57,1809.98,1628.25,1840.56,913.43,1637.58,1547.63,1896.57,1986.8,2170.92,1560.3,1612.27,2229.63,1719.3,2074.65,1103.33,2075.26,1906.64,1499.12,1621.41,1117.16,2552.78,2174.77,1851.72,1856.69,1233.82,1433.75,1275.07,1552.86,1771.34,1432.77,1515.02,1052.73,1467.05,1947.58,1729.56,978.37,1148.86,1043.12,1306.57,1465.63,1368.09,1152.72,1114.12,1566.41,952.61,1848.54,1087.23,1383.43,2819.59,1456.51,978.3,1262.92
Endogenous,CTNNBL1,920.8,1164.51,943.42,1151.92,977.39,961.29,998.37,1497.33,904.69,987.95,685.13,863.76,818.54,842.16,881.05,1062.13,931.7,767.81,926.65,1042.11,929.13,831.89,1122.24,876.22,913.91,866.3,929,1097.81,916.01,1153.59,883.15,967.5,1054.39,913.2,1469.37,824.33,850.2,777.08,962.3,861.69,976.9,809.81,907.45,902.07,559.31,840.46,853.51,949.59,993.4,988.14,972.89,892.23,1237.44,998.48,826.72,1048.97,913.8,989.92,824.44,952.84,908.91,1083.32,1024.71,918.21,918.12,743.43,988.29,853.01,897.35,993.33,1262.72,881.25,1886.46,830.64,847.05,904.92,829.72,1005.02,885.18,909.43,955.68,947.35,921.95,1186.25,886.13,714.46,1161.1,685.38,1142.43,985.56,989.89,905.08,901.51
Endogenous,DES,223094.62,171877.23,253411.8,202201.89,176212.17,226552.95,104788.87,108079.99,193286.64,203788.98,198826.61,220214.3,329505,216484.27,248173.03,240926.5,300082.34,254944.77,186670.44,165230.56,281604.91,213796.25,359660.25,208238.06,170224.25,218102.41,244019,164249.05,187353.58,185798.39,233912.84,206190.86,303206.41,173059.62,203828,331606.34,285559.97,231423.17,262322.72,217138.8,350575.03,310996.31,266970.69,295646.06,188689.89,202130.48,205552.53,221166.38,280182.09,300332,277897.88,219559.16,194358.42,341970.44,288672.19,318622,291666.09,328172.16,321515.75,285889.41,234901.22,306852.34,292382.66,230819.77,284349.88,269013.31,252402.77,200527.78,252919.41,172954.61,89695.27,225016.48,236199.83,227332.94,123788.38,204469.77,145055.42,109574.41,216303.48,291715.72,111257.55,255611.84,161738.06,227624.47,68469.59,206382.98,65513.25,103601.8,76267.48,82412.5,120242.55,165307.58,107705.43
Endogenous,DPAGT1,457.23,770.08,633.86,458.85,435.24,506.55,386.04,884.79,506.12,576.3,360.44,392.99,438.14,460.69,373.91,433.29,347.27,353.11,449.47,593.2,481.77,421.21,448.9,341.58,493.51,368.98,609.59,424.87,386.54,545.69,455.09,499.88,381.37,406.09,1167.96,405.79,518.81,458.22,481.15,389.15,445.6,477.5,506.34,449.96,501.39,320.29,485.89,408.09,380.87,381.78,452.03,503.13,508.47,552.63,468.37,382.54,401.39,607.96,673.19,505.37,404.82,411.16,508.72,489.71,417.14,490.39,374.66,473.15,453.98,510.89,522.42,432.11,472.58,493.15,449.06,494.48,311.7,600.38,539.92,381.25,488.72,496.23,556.56,360.69,571.71,346.92,666.2,410.06,706.5,658.12,617.53,565.42,474.51
Endogenous,ESR1,171.46,37.56,70.02,86.04,122.17,149.66,156.41,54.45,75.92,92.01,128.09,151.47,71.33,110.48,107.45,168.71,118.58,78.01,170.35,32.06,159.16,121.1,112.22,103.96,132.52,160.43,21.42,153.06,120.19,141.37,211.78,48.38,62.81,169.71,753.52,119.95,105.94,143.59,171.62,189.02,34.28,106.47,160.84,47.14,81.08,96.33,120.83,115.1,82.46,93.57,149.15,98.39,146.24,40.05,47.15,92.62,65.47,58.89,86,163.19,93.42,58.99,96.29,127.53,104.29,132.12,85.55,126.62,159.1,116.05,118.97,103.45,49.95,96.43,62.28,81.79,53.24,143.84,334.24,101.27,144.33,116,90.5,200.38,75.94,88.14,148.7,111.3,137.23,58.47,41.05,120,149.92
Endogenous,ESR2,177.81,375.65,44.22,129.05,175.62,178.44,103.16,340.3,202.45,106.54,104.26,163.75,142.65,95.89,111.74,187.89,173.63,156.02,132.38,288.58,94.63,131.63,210.42,99.01,201.06,120.32,60.38,171.53,103.94,124.41,202.76,354.75,246.77,143.45,678.17,114.85,84.21,116.14,95,138.98,97.12,106.47,190.62,51.42,72.81,98.74,77.12,188.35,113.87,116.03,133.08,78.27,105.74,96.11,110.02,140.94,96.79,85.94,93.42,234.26,108.99,151.95,123.55,153.03,110.42,125.4,144.56,93.3,190.93,107.29,90.52,138.8,134.47,117.09,124.57,51.02,51.03,146.34,113.86,139,84.9,155.59,74.66,128.24,133.67,105.01,96.72,80.25,123.17,109.15,36.43,91.52,101.06
Endogenous,FBN1,3619.71,1483.81,1522,1371.78,2573.28,1646.28,2199.74,2123.49,3770.58,1428.65,4852.48,3811.2,3926.28,2841.26,1843.76,2538.37,2053.97,3962.21,2987.23,1346.73,2464.78,1542.69,3483.63,3272.21,3879.53,3449.15,2362.42,2586.18,2738.29,3562.55,3136.08,2789.63,1072.34,4155.87,678.17,1743.09,3849.01,2139.07,3692.92,2567.02,1182.56,3039.21,3421.3,1793.42,4975.89,2326.33,3833.09,2793.85,1075.86,1646.91,2037.56,3624.81,2733.61,2314.65,3646.36,2267.07,3381.9,2998.42,3128.72,1979.38,2899.94,1660.74,2794.32,1591.56,2435.37,2290.74,1545.86,2479.05,2825.7,2998.22,2450.44,2575.66,1402.36,2903.79,5277.22,2903.11,1603.99,3792.42,2449.85,1443.58,3066.56,2697.52,2585.98,1370.6,4022.09,2700.32,3152.01,4267.51,2904.57,3490.7,4396.7,3990.47,4375.04
Endogenous,FBN2,1301.82,1934.58,685.45,1290.53,2725.99,1439.05,1577.42,1987.36,1246.32,1225.25,1006.84,1854.43,489.09,2078.31,799.39,1836.67,1634.7,1716.27,1578.27,1955.96,1410.91,1150.43,2791.58,1475.22,2307.61,1736.61,1357.47,1765.47,1893.74,1543.77,1031.84,967.5,861.46,2026.42,1469.37,1135.69,1523.85,1442.24,1231.99,1264.75,856.93,1238.91,1513.08,2234.81,951.49,1627.95,2568.25,1791.93,1637.34,3050.52,1693.38,3716.49,2058.64,2125.1,1166.21,2830.82,1636.86,1885.95,2424.39,226.37,1259.24,1415.83,1696.94,2540.38,2116.38,1305.48,1262.65,1226.2,1813.8,1565.53,2507.99,1171.95,1390.83,1607.55,1793.12,2026.7,1759.28,1894.96,1847.49,1616.33,2685.57,3015.15,1531.68,240.46,1963.66,976.99,2707.72,1082.55,1958.04,3009.94,1819.04,1879.3,2299.62
Endogenous,FBN3,19.05,37.56,18.43,4.78,7.64,5.76,9.98,27.22,6.33,9.69,5.96,4.09,13.59,2.08,8.6,7.67,12.7,4.11,12.31,16.03,8.6,2.63,23.38,4.95,9.14,4.01,11.69,7.92,6.5,11.31,13.52,16.13,4.49,2.02,37.68,10.21,13.58,6.33,12.26,8.34,11.43,9.68,4.96,10.71,4.96,2.41,2.57,2.62,7.85,7.49,9.18,4.47,11.25,8.01,12.57,6.04,14.23,12.73,11.86,7.9,7.79,5.36,12.72,2.55,4.09,4.48,2.95,2.22,2.12,5.84,8.41,13.09,3.84,8.27,3.74,5.25,3.33,5,11.02,9.93,3.18,11.97,5.66,16.03,6.9,1.88,13.11,5.86,8.73,3.9,2.89,4.07,7.36
Endogenous,FGF2,469.93,187.82,1982.66,664.38,1252.28,679.23,688.87,803.11,544.08,658.63,667.25,986.57,1001.95,506.55,936.92,1016.11,914.76,661.05,764.51,737.49,774.28,666.04,1038.07,574.24,749.4,866.3,1394.47,580.57,568.45,582.45,635.33,661.13,690.96,785.92,715.85,599.75,586.72,637.71,640.51,605.97,696.97,1067.92,803.2,649.23,484.85,618.91,601.57,698.46,859.9,576.42,722.78,601.53,1133.94,1972.93,713.55,771.13,666.13,1161.81,1076.52,758.06,724.01,604.23,570.49,742.22,472.35,459.04,474.97,610.88,420.04,507.98,690.52,509.37,899.05,825.13,689.47,739.85,736.55,751.11,760.3,873.69,631.46,1181.2,541.86,464.88,687.82,633.82,1089.24,219.67,977.56,574.96,692.69,488.13,411.6
Endogenous,GJA1,7214.01,3136.65,2646,8933.32,4382.97,3183.18,7594.26,2422.95,5459.75,8886.71,3485.21,5813,4985.96,4556.86,5501.2,6081.35,7864.36,4467.24,5937.51,6204.56,4073.56,4585.94,6102.2,8064.18,8014.96,3453.16,3355.69,5098.48,6564.75,4571.94,6646.15,5369.64,8758.16,6364.12,6216.57,7567.02,4666.62,7544.82,6552.25,5803.93,12362.62,8017.45,7187.12,4388.19,2007.23,6321.54,8231.77,7047.4,7452.47,6445.39,7259.97,6578.77,7168.13,3828.39,3674.65,6924.03,3814.6,5115.13,4387.63,9017.78,5110.91,5186.01,4164.23,8036.88,8416.46,4872.59,4501.87,6766.3,8608.63,9612.85,6399.6,7742.71,4360.77,6642.34,7591.03,7650.57,4431.48,7836.26,4385.5,5466.53,7882.12,7564.11,7536.22,6428.21,8756.46,5976.33,9906.62,2183.25,10236.79,4673.11,5501.08,6724,6719.5
Endogenous,GJC1,1200.22,957.9,1868.42,1171.04,1007.93,1922.57,1168.09,1960.14,740.2,1288.21,1009.82,1068.45,1701.61,873.43,906.84,1138.82,1389.07,1133.23,1477.71,2324.71,1367.89,1097.78,1599.2,1212.84,1352.58,1122.98,1355.52,720.44,1276.57,1006.56,1121.96,1241.63,664.04,1212.21,1130.28,1191.84,1458.66,1427.46,968.43,1286.98,1011.18,2000.33,1134.81,1634.86,888.61,835.65,1159.44,1203.34,1441.02,1040.55,1204.64,1402.07,1365.68,2504.2,1241.65,1536.21,1269.64,1722.02,2230.14,1034.44,1093.8,1356.84,1269.98,1313.55,879.27,1289.8,814.23,1152.89,1289.81,1415.18,1642.25,1050.17,1125.73,1272.82,1317.28,1393.4,1024.95,1021.9,954.97,1034.53,1242.23,2003.35,1210.41,1514.88,1826.22,796.97,1458.94,869.32,1272.87,1696.3,1002.61,1175.58,1179.26
Endogenous,GPER1,279.42,93.91,58.96,114.71,91.63,172.69,229.62,40.84,107.55,145.29,145.96,339.77,125.67,170.93,141.83,176.38,156.69,156.02,184.71,112.23,271,92.14,126.25,188.11,265.03,132.35,42.85,76.53,107.19,186.61,297.39,129,134.6,155.57,339.09,148.02,192.86,196.38,285.01,175.12,165.67,119.37,180.7,190.7,102.6,120.41,174.82,138.65,247.37,220.84,172.09,109.57,222.74,114.8,144.6,100.67,167.96,113,154.21,192.15,153.76,176.98,187.14,160.69,237.2,109.72,91.45,157.72,144.26,216.04,166.16,150.59,57.63,128.11,145.12,120.06,59.9,138.84,176.3,152.9,179.89,148.23,161.77,144.27,121.75,114.39,193.89,224.94,198.81,186.46,69.39,164.74,88.34
Endogenous,GUCY1A2,2349.63,2028.49,1190.33,1892.78,1099.56,1462.08,1341.14,1388.43,1701.82,1985.59,1364.29,1719.34,1613.31,1477.96,1555.81,1717.81,2371.59,1691.64,2459.77,1779.6,2193.79,1421.59,1463.59,2128.67,1923.77,1628.32,1310.73,1586.02,1718.33,1320.41,1676.18,2096.26,1090.28,2020.36,2825.71,1457.26,2243.67,1729.42,1777.5,2029.15,1508.19,2406.85,1806.96,1654.14,1578.65,1548.48,2030.95,2063.99,2430.49,2358.07,1663.55,1504.93,2411.87,1380.25,1989.78,1147.63,2214.75,1378.25,1413.12,1831.98,1897.61,1961.07,1962.2,1969.05,1750.36,1795.87,1135.79,1650.48,1909.26,2785.84,2266.18,1450.86,1659.78,1932.64,2840.72,2100.23,1541.87,1819.29,1149.63,1260.9,2091.25,1590.89,1718.33,1683.2,2968.4,1322.03,2181.64,1572.27,2352.26,3499.15,1395.22,1690.15,1748.81
Endogenous,HACE1,546.13,300.52,309.56,458.85,809.4,535.33,569.07,353.91,461.83,464.92,494.48,499.43,580.79,416.91,618.89,632.67,614.07,435.23,514.12,625.27,524.79,523.88,593.85,509.89,616.89,577.53,408.99,585.85,474.25,486.32,491.14,725.63,556.36,430.34,866.55,270.52,505.23,413.88,520.99,440.58,371.34,613,577.83,426.39,412.04,435.89,483.31,486.57,561.49,441.67,481.86,489.72,690.71,472.54,462.08,420.8,444.09,426.53,419.63,426.41,363.95,522,494.18,476.96,388.51,510.55,427.77,524.24,468.83,560.52,584.49,488.42,472.58,555.14,510.1,623.54,432.61,590.38,477.48,514.29,465.37,473.22,429.87,344.65,443.06,326.29,634.11,176.91,593.52,499.6,297.78,439.32,429
Endogenous,HSPA1A,736.64,413.21,1194.02,650.04,1030.84,874.94,515.82,353.91,651.63,663.48,414.05,691.83,516.26,289.75,446.97,486.97,402.32,307.94,426.89,320.65,692.55,608.12,514.36,574.24,644.3,385.02,321.35,393.21,513.23,534.38,608.29,532.13,278.18,476.8,1280.99,1130.59,662.78,838.31,612.93,622.64,691.26,751.74,617.54,464.96,375.63,614.09,650.42,504.88,640.02,400.5,635.59,485.25,483.72,160.18,254.62,599.99,281.82,192.57,194.25,755.43,1208.63,332.51,321.58,655.5,554.14,859.87,675.58,786.37,710.67,541.55,916.17,565.68,879.84,578.55,710.65,389.43,651.13,696.07,1054.14,704.91,535.95,791.76,578.06,3446.55,852.24,656.33,1015.11,1545.91,726.38,348.23,996.25,839.99,1163.2
Endogenous,IL6R,457.23,262.95,644.92,372.82,374.16,310.84,319.48,340.3,234.08,358.37,277.03,409.37,383.8,339.78,365.31,322.09,389.62,390.06,339.67,144.29,494.68,352.76,257.18,599,420.4,377,403.15,374.73,243.62,409.98,410.03,387,605.71,325.28,979.58,421.1,296.08,339.97,496.48,347.46,239.94,464.59,478.55,327.83,337.57,264.9,357.34,347.92,314.12,333.12,348.77,234.8,393.73,309.69,289.19,209.39,347.3,297.61,250.59,397.46,412.61,423.68,363.37,331.58,435.55,306.78,280.26,251.02,381.85,237.93,363.36,327.36,307.37,279.63,450.3,287.38,412.64,282.06,304.85,327.63,278.05,258.7,216.06,184.35,458.12,285.03,569.48,303.44,337.01,343.68,413.42,262.37,259.01
Endogenous,LACE1,457.23,619.82,276.39,454.07,557.42,529.57,469.23,381.14,487.14,518.19,446.82,450.3,441.54,433.59,623.18,555.99,609.84,500.92,572.61,721.46,481.77,410.68,500.33,499.99,456.95,625.66,260.98,443.35,448.26,274.26,599.28,499.88,417.27,462.66,715.85,474.69,442.76,358.98,453.57,479.49,348.48,506.53,511.31,351.4,248.22,438.29,578.43,478.72,337.68,430.44,580.52,521.02,476.98,277.65,370.92,561.73,361.53,284.88,259.49,468.52,400.93,409.37,401.52,530.52,492.8,497.11,516.27,513.14,517.62,584.61,515.95,521.16,284.31,604.73,662.07,686.57,491.4,681.06,374.64,544.07,647.91,509.12,510.18,176.34,744.3,472.56,817.6,344.45,799.12,422.94,344.03,490.16,554.83
